date,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressurehPa,Mean Sea Level PressurehPa,Min Sea Level PressurehPa,Max Wind SpeedKm/h,Mean Wind SpeedKm/h
2001-01-01,10.0,7.0,4.0,9.0,6.0,3.0,100.0,89.0,81.0,1017,1011,1007,26,11
2001-01-02,10.0,8.0,7.0,6.0,5.0,3.0,93.0,80.0,62.0,1018,1012,1008,27,21
2001-01-03,9.0,7.0,6.0,6.0,5.0,4.0,93.0,83.0,71.0,1021,1018,1016,26,19
2001-01-04,11.0,9.0,7.0,9.0,7.0,4.0,100.0,83.0,67.0,1021,1018,1014,32,18
2001-01-05,14.0,10.0,6.0,13.0,9.0,4.0,100.0,93.0,82.0,1019,1011,1006,27,10
2001-01-06,13.0,9.0,6.0,11.0,4.0,0.0,100.0,76.0,54.0,1014,1009,1005,32,16
2001-01-07,8.0,6.0,3.0,2.0,0.0,-3.0,93.0,73.0,46.0,1022,1018,1015,14,6
2001-01-08,7.0,2.0,-3.0,0.0,-1.0,-3.0,100.0,77.0,53.0,1024,1022,1020,10,3
2001-01-09,4.0,1.0,-2.0,4.0,1.0,-2.0,100.0,94.0,75.0,1020,1016,1014,11,5
2001-01-10,10.0,7.0,3.0,9.0,6.0,3.0,100.0,98.0,87.0,1017,1015,1013,21,5
2001-01-11,11.0,8.0,5.0,9.0,7.0,5.0,100.0,90.0,76.0,1013,1010,1007,27,16
2001-01-12,9.0,7.0,6.0,7.0,6.0,4.0,100.0,93.0,81.0,1013,1009,1007,16,6
2001-01-13,12.0,6.0,1.0,5.0,3.0,0.0,100.0,78.0,58.0,1020,1017,1014,16,8
2001-01-14,11.0,6.0,0.0,5.0,3.0,0.0,100.0,81.0,54.0,1020,1019,1018,11,3
2001-01-15,7.0,3.0,1.0,5.0,3.0,0.0,100.0,89.0,81.0,1019,1017,1016,19,5
2001-01-16,8.0,6.0,4.0,5.0,4.0,2.0,100.0,89.0,71.0,1018,1017,1017,21,8
2001-01-17,8.0,4.0,2.0,5.0,3.0,2.0,100.0,85.0,71.0,1022,1021,1018,21,6
2001-01-18,9.0,7.0,5.0,6.0,4.0,3.0,100.0,89.0,71.0,1022,1016,1012,27,11
2001-01-19,10.0,6.0,1.0,4.0,2.0,-1.0,100.0,79.0,47.0,1027,1022,1014,26,6
2001-01-20,10.0,4.0,-1.0,2.0,1.0,-1.0,100.0,80.0,47.0,1029,1028,1027,8,3
2001-01-21,10.0,4.0,-2.0,3.0,1.0,-2.0,100.0,85.0,58.0,1029,1026,1023,10,5
2001-01-22,8.0,3.0,-1.0,7.0,2.0,-2.0,100.0,92.0,71.0,1023,1019,1018,19,6
2001-01-23,13.0,10.0,7.0,10.0,9.0,7.0,100.0,91.0,82.0,1020,1018,1016,34,18
2001-01-24,12.0,10.0,8.0,10.0,7.0,5.0,94.0,83.0,67.0,1016,1013,1011,32,23
2001-01-25,9.0,7.0,5.0,6.0,3.0,-1.0,87.0,77.0,53.0,1018,1015,1012,32,24
2001-01-26,10.0,6.0,2.0,9.0,4.0,1.0,94.0,90.0,81.0,1019,1016,1010,34,18
2001-01-27,11.0,8.0,5.0,10.0,7.0,2.0,100.0,84.0,58.0,1016,1012,1008,32,16
2001-01-28,10.0,8.0,5.0,8.0,1.0,-4.0,93.0,65.0,46.0,1008,1004,999,53,27
2001-01-29,10.0,7.0,4.0,2.0,-2.0,-5.0,75.0,59.0,40.0,1023,1017,1009,39,23
2001-01-30,11.0,4.0,-1.0,1.0,-3.0,-6.0,87.0,62.0,32.0,1026,1024,1023,14,6
2001-01-31,14.0,7.0,-1.0,5.0,2.0,-2.0,100.0,76.0,51.0,1025,1023,1022,11,3
2001-02-01,14.0,10.0,6.0,5.0,3.0,3.0,81.0,63.0,48.0,1026,1025,1024,37,13
2001-02-02,13.0,7.0,1.0,4.0,3.0,-1.0,100.0,76.0,47.0,1026,1025,1023,11,5
2001-02-03,12.0,6.0,-1.0,5.0,2.0,-1.0,100.0,82.0,54.0,1025,1023,1021,14,5
2001-02-04,11.0,7.0,3.0,7.0,4.0,2.0,100.0,83.0,54.0,1021,1019,1017,35,10
2001-02-05,10.0,8.0,6.0,9.0,7.0,4.0,100.0,89.0,81.0,1022,1020,1019,23,11
2001-02-06,12.0,10.0,9.0,9.0,6.0,4.0,94.0,77.0,62.0,1019,1015,1012,26,16
2001-02-07,10.0,8.0,6.0,7.0,6.0,2.0,100.0,84.0,66.0,1012,1008,1005,42,19
2001-02-08,9.0,7.0,6.0,5.0,3.0,-1.0,93.0,77.0,54.0,1021,1013,1009,35,21
2001-02-09,10.0,5.0,0.0,5.0,1.0,-2.0,93.0,70.0,46.0,1030,1026,1022,21,10
2001-02-10,14.0,10.0,7.0,10.0,8.0,5.0,100.0,89.0,72.0,1037,1033,1030,11,6
2001-02-11,17.0,11.0,5.0,9.0,7.0,5.0,100.0,82.0,52.0,1039,1037,1036,10,5
2001-02-12,17.0,9.0,2.0,8.0,6.0,2.0,100.0,81.0,52.0,1037,1035,1032,10,5
2001-02-13,17.0,9.0,2.0,7.0,4.0,1.0,100.0,77.0,48.0,1033,1026,1020,21,6
2001-02-14,10.0,6.0,1.0,5.0,1.0,-1.0,93.0,72.0,54.0,1022,1019,1018,23,8
2001-02-15,12.0,8.0,5.0,6.0,3.0,1.0,87.0,74.0,50.0,1029,1025,1022,24,14
2001-02-16,14.0,7.0,1.0,3.0,0.0,-3.0,93.0,63.0,33.0,1031,1029,1028,19,8
2001-02-17,16.0,7.0,-1.0,0.0,-2.0,-4.0,93.0,59.0,27.0,1031,1029,1027,13,5
2001-02-18,10.0,3.0,-3.0,0.0,-3.0,-5.0,100.0,70.0,35.0,1029,1027,1025,29,8
2001-02-19,11.0,6.0,1.0,0.0,-1.0,-3.0,93.0,62.0,41.0,1032,1030,1029,19,10
2001-02-20,15.0,7.0,-2.0,2.0,-2.0,-4.0,93.0,59.0,29.0,1032,1029,1026,10,3
2001-02-21,16.0,6.0,-3.0,-1.0,-4.0,-7.0,93.0,56.0,22.0,1029,1027,1026,10,5
2001-02-22,17.0,7.0,-2.0,1.0,-1.0,-4.0,100.0,64.0,30.0,1027,1023,1019,11,5
2001-02-23,15.0,7.0,-1.0,6.0,2.0,-2.0,93.0,72.0,38.0,1019,1013,1008,23,6
2001-02-24,12.0,8.0,5.0,5.0,1.0,-3.0,93.0,64.0,41.0,1009,1007,1005,27,8
2001-02-25,9.0,6.0,1.0,-3.0,-6.0,-7.0,65.0,47.0,32.0,1016,1013,1009,29,16
2001-02-26,8.0,2.0,-4.0,-4.0,-6.0,-8.0,80.0,54.0,34.0,1016,1013,1006,19,6
2001-02-27,7.0,4.0,2.0,0.0,-4.0,-8.0,75.0,53.0,34.0,1006,1003,1001,40,18
2001-02-28,8.0,4.0,2.0,-3.0,-7.0,-9.0,65.0,45.0,31.0,1008,1006,1003,37,23
2001-03-01,6.0,4.0,3.0,5.0,2.0,-4.0,100.0,84.0,53.0,1009,1005,1001,19,11
2001-03-02,14.0,9.0,4.0,11.0,8.0,4.0,100.0,90.0,77.0,1000,991,965,40,19
