date,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressurehPa,Mean Sea Level PressurehPa,Min Sea Level PressurehPa,Max Wind SpeedKm/h,Mean Wind SpeedKm/h,Max Gust SpeedKm/h,Precipitationmm,CloudCover,Events
2001-1-1,10,7,4,9,6,3,100,89,81,1017,1011,1007,26,11,,0,6,Rain
2001-1-2,10,8,7,6,5,3,93,80,62,1018,1012,1008,27,21,,0,5,
2001-1-3,9,7,6,6,5,4,93,83,71,1021,1018,1016,26,19,,0,5,Rain
2001-1-4,11,9,7,9,7,4,100,83,67,1021,1018,1014,32,18,,0,4,Rain
2001-1-5,14,10,6,13,9,4,100,93,82,1019,1011,1006,27,10,,0,6,Rain
2001-1-6,13,9,6,11,4,0,100,76,54,1014,1009,1005,32,16,,0,6,Rain
2001-1-7,8,6,3,2,0,-3,93,73,46,1022,1018,1015,14,6,,0,3,
2001-1-8,7,2,-3,0,-1,-3,100,77,53,1024,1022,1020,10,3,,0,1,
2001-1-9,4,1,-2,4,1,-2,100,94,75,1020,1016,1014,11,5,,0,6,Rain
2001-1-10,10,7,3,9,6,3,100,98,87,1017,1015,1013,21,5,,0,6,Rain
2001-1-11,11,8,5,9,7,5,100,90,76,1013,1010,1007,27,16,,0,6,Rain
2001-1-12,9,7,6,7,6,4,100,93,81,1013,1009,1007,16,6,,0,5,Rain
2001-1-13,12,6,1,5,3,0,100,78,58,1020,1017,1014,16,8,,0,4,
2001-1-14,11,6,0,5,3,0,100,81,54,1020,1019,1018,11,3,,0,4,
2001-1-15,7,3,1,5,3,0,100,89,81,1019,1017,1016,19,5,,0,6,
2001-1-16,8,6,4,5,4,2,100,89,71,1018,1017,1017,21,8,,0,6,Rain
2001-1-17,8,4,2,5,3,2,100,85,71,1022,1021,1018,21,6,,0,3,Fog
2001-1-18,9,7,5,6,4,3,100,89,71,1022,1016,1012,27,11,,0,6,Rain
2001-1-19,10,6,1,4,2,-1,100,79,47,1027,1022,1014,26,6,,0,2,Fog
2001-1-20,10,4,-1,2,1,-1,100,80,47,1029,1028,1027,8,3,,0,1,
2001-1-21,10,4,-2,3,1,-2,100,85,58,1029,1026,1023,10,5,,0,,
2001-1-22,8,3,-1,7,2,-2,100,92,71,1023,1019,1018,19,6,,0,6,
2001-1-23,13,10,7,10,9,7,100,91,82,1020,1018,1016,34,18,,0,6,Rain
2001-1-24,12,10,8,10,7,5,94,83,67,1016,1013,1011,32,23,48,0,5,Rain
2001-1-25,9,7,5,6,3,-1,87,77,53,1018,1015,1012,32,24,,0,3,Rain
2001-1-26,10,6,2,9,4,1,94,90,81,1019,1016,1010,34,18,,0,5,Rain
2001-1-27,11,8,5,10,7,2,100,84,58,1016,1012,1008,32,16,,0,5,Rain
2001-1-28,10,8,5,8,1,-4,93,65,46,1008,1004,999,53,27,74,0,4,
2001-1-29,10,7,4,2,-2,-5,75,59,40,1023,1017,1009,39,23,,0,3,
2001-1-30,11,4,-1,1,-3,-6,87,62,32,1026,1024,1023,14,6,,0,1,
2001-1-31,14,7,-1,5,2,-2,100,76,51,1025,1023,1022,11,3,,0,3,
2001-2-1,14,10,6,5,3,3,81,63,48,1026,1025,1024,37,13,,0,3,
2001-2-2,13,7,1,4,3,-1,100,76,47,1026,1025,1023,11,5,,0,1,
2001-2-3,12,6,-1,5,2,-1,100,82,54,1025,1023,1021,14,5,,0,1,
2001-2-4,11,7,3,7,4,2,100,83,54,1021,1019,1017,35,10,50,0,4,
2001-2-5,10,8,6,9,7,4,100,89,81,1022,1020,1019,23,11,,0,6,Rain
2001-2-6,12,10,9,9,6,4,94,77,62,1019,1015,1012,26,16,,0,5,
